experiment,dataset,method,n_clients,seed,metric,value,scenario
exp2_topology,narma10,scale_free,,7.0,avg_path_length,2.4562311557788945,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 7}"
exp2_topology,narma10,ring,,0.0,nrmse,0.2526373245951748,"{""task"": ""narma10"", ""topology"": ""ring"", ""seed"": 0}"
exp2_topology,narma10,ring,,0.0,mean_degree,2.0,"{""task"": ""narma10"", ""topology"": ""ring"", ""seed"": 0}"
exp2_topology,narma10,ring,,0.0,clustering,0.0,"{""task"": ""narma10"", ""topology"": ""ring"", ""seed"": 0}"
exp2_topology,narma10,ring,,0.0,avg_path_length,50.25125628140704,"{""task"": ""narma10"", ""topology"": ""ring"", ""seed"": 0}"
exp2_topology,narma10,ring,,1.0,nrmse,0.2231170707665186,"{""task"": ""narma10"", ""topology"": ""ring"", ""seed"": 1}"
exp2_topology,narma10,ring,,1.0,mean_degree,2.0,"{""task"": ""narma10"", ""topology"": ""ring"", ""seed"": 1}"
exp2_topology,narma10,ring,,1.0,clustering,0.0,"{""task"": ""narma10"", ""topology"": ""ring"", ""seed"": 1}"
exp2_topology,narma10,ring,,1.0,avg_path_length,50.25125628140704,"{""task"": ""narma10"", ""topology"": ""ring"", ""seed"": 1}"
exp2_topology,narma10,ring,,2.0,nrmse,0.1811130851505531,"{""task"": ""narma10"", ""topology"": ""ring"", ""seed"": 2}"
exp2_topology,narma10,ring,,2.0,mean_degree,2.0,"{""task"": ""narma10"", ""topology"": ""ring"", ""seed"": 2}"
